no,max_deviation,K,useful_method,deviation,algorithm,COUNT(Gender = Female),,setup_duration[sec],solver_duration[sec],total_duration[sec]
3,0.5,40,KENDALL_DISTANCE,0.45,RefinementMethod.MILP_OPT,11,,0.1071151659999714,0.17915641700005835,0.28627158300002975
4,0.5,40,KENDALL_DISTANCE,0.45,RefinementMethod.MILP_OPT,11,,0.10643529200001467,0.1794926249999662,0.2859279169999809
0,0.5,50,KENDALL_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,0.11058445800006211,0.232395166999936,0.3429796249999981
1,0.5,50,KENDALL_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,0.10769025000001875,0.21757300000001578,0.32526325000003453
2,0.5,50,KENDALL_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,0.10519354200005182,0.20000754099999085,0.30520108300004267
3,0.5,50,KENDALL_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,0.10850812499995754,0.22316912500002672,0.33167724999998427
4,0.5,50,KENDALL_DISTANCE,0.32,RefinementMethod.MILP_OPT,17,,0.10975745899997946,0.19505608300005406,0.3048135420000335
0,0.5,60,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,18,,0.10745362500006195,0.15158054200003335,0.2590341670000953
1,0.5,60,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,18,,0.10918770800003585,0.15004799999996976,0.2592357080000056
2,0.5,60,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,18,,0.1101699580000286,0.15189016700003322,0.2620601250000618
3,0.5,60,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,18,,0.11140558300007797,0.15057575000002998,0.26198133300010795
4,0.5,60,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,18,,0.11033637500008808,0.1521164159998989,0.262452790999987
0,0.5,70,KENDALL_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.10988070899998093,0.19737458300005528,0.3072552920000362
1,0.5,70,KENDALL_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.1072738750000326,0.19906662500000039,0.306340500000033
2,0.5,70,KENDALL_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.12517062500000975,0.20618241699992268,0.33135304199993243
3,0.5,70,KENDALL_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.10744195799998124,0.1952360000000226,0.30267795800000385
4,0.5,70,KENDALL_DISTANCE,0.4857142857142857,RefinementMethod.MILP_OPT,18,,0.10740799999996398,0.19661808300008943,0.3040260830000534
0,0.5,80,KENDALL_DISTANCE,0.425,RefinementMethod.MILP_OPT,23,,0.10857925000004798,0.184024749999935,0.292603999999983
1,0.5,80,KENDALL_DISTANCE,0.425,RefinementMethod.MILP_OPT,23,,0.10582299999998668,0.18532208400006311,0.2911450840000498
2,0.5,80,KENDALL_DISTANCE,0.425,RefinementMethod.MILP_OPT,23,,0.10614462499995625,0.18388837500003774,0.290032999999994
3,0.5,80,KENDALL_DISTANCE,0.425,RefinementMethod.MILP_OPT,23,,0.10626612499993371,0.18515208300004815,0.29141820799998186
4,0.5,80,KENDALL_DISTANCE,0.425,RefinementMethod.MILP_OPT,23,,0.106572834000076,0.19095837499992285,0.29753120899999885
0,0.5,90,KENDALL_DISTANCE,0.4666666666666667,RefinementMethod.MILP_OPT,24,,0.10711487499997929,0.19751816699999836,0.30463304199997765
1,0.5,90,KENDALL_DISTANCE,0.4666666666666667,RefinementMethod.MILP_OPT,24,,0.1219740000000229,0.19767300000000887,0.31964700000003177
2,0.5,90,KENDALL_DISTANCE,0.4666666666666667,RefinementMethod.MILP_OPT,24,,0.10817929199993159,0.19265791600003013,0.3008372079999617
