no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(c.MKTSEGMENT = MACHINERY),number_of_constraints,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.118199332999893,0.008041208000122424,15.126240541000016
1,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.123390749999999,0.008073208000041632,15.13146395800004
2,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.113456957999915,0.008141000000023269,15.121597957999938
3,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.251238583000031,0.008125583000037295,15.259364166000069
4,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.186215959000037,0.00821241599987843,15.194428374999916
5,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.2074379579999,0.0091855000000578,15.216623457999958
6,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.153285249999954,0.008528791999879104,15.161814041999833
7,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.155138125000121,0.007150457999841819,15.162288582999963
8,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.171093708000171,0.007938749999993888,15.179032458000165
9,0.5,10,MAX_ORIGINAL,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.175772625000036,0.00844483300011234,15.184217458000148
0,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.14601304100006,0.012852666999833673,15.158865707999894
1,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.151129000000083,0.00853366699993785,15.15966266700002
2,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.153214082999966,0.007640875000106462,15.160854958000073
3,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.170440833999919,0.008532125000101587,15.17897295900002
4,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.147002250000014,0.008369165999965844,15.15537141599998
5,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.152224291000039,0.008722749999833468,15.160947040999872
6,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.191954749999923,0.00867954200020904,15.200634292000132
7,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.20245766700009,0.009810582999989492,15.21226825000008
8,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.457347333999905,0.008121833000132028,15.465469167000037
9,0.5,10,MAX_ORIGINAL,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.171779791999825,0.008596207999971739,15.180375999999796
