no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(c.MKTSEGMENT = MACHINERY),number_of_constraints,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.165511166999977,0.004743957999835402,15.170255124999812
1,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.166513917000202,0.005020749999857799,15.17153466700006
2,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.140068291000034,0.005047499999818683,15.145115790999853
3,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.16137070800005,0.004739833000030558,15.16611054100008
4,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.172724709000022,0.004758332999927006,15.177483041999949
5,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.140840333000142,0.00522504199989271,15.146065375000035
6,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.367598874999885,0.004762541999980385,15.372361416999865
7,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.11587237499998,0.004753791999974055,15.120626166999955
8,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.155267583000068,0.0050617499998679705,15.160329332999936
9,0.5,10,QUERY_DISTANCE,0.375,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.15599070899998,0.004706790999989607,15.16069749999997
0,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.169779250000147,0.005564416999959576,15.175343667000107
1,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.146285041999818,0.005905458000142971,15.15219049999996
2,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.160969625000007,0.005356832999950711,15.166326457999958
3,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.185085957999945,0.005356625000104032,15.19044258300005
4,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.152031791999889,0.005863583000063954,15.157895374999953
5,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.296339500000158,0.005430166999985886,15.301769667000144
6,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.198393458000055,0.005423082999868711,15.203816540999924
7,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.191646708000007,0.006549625000161541,15.198196333000169
8,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.168125416000066,0.005360500000051616,15.173485916000118
9,0.5,10,QUERY_DISTANCE,0.42,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.167690083000025,0.005370541999809575,15.173060624999835
