no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),,data_size,lineage_classes,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.09219916699999,0.0028912079999940943,6.095090374999984
1,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.0872707080000055,0.0032935000000406944,6.090564208000046
2,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.100396916999955,0.0027039580000405294,6.1031008749999955
3,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.087297584000055,0.002638415999967947,6.089936000000023
4,0.5,10,QUERY_DISTANCE,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.0832148329999995,0.002691832999971666,6.085906665999971
0,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.207180542000003,0.005391874999986612,6.21257241699999
1,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.104157541999996,0.00466458299996475,6.108822124999961
2,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.080461291999995,0.006230541999968864,6.086691833999964
3,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.124021916000004,0.004687999999987369,6.128709915999991
4,0.5,10,MAX_ORIGINAL,0.4,RefinementMethod.MILP_OPT,84140,,700,5,6.104254457999957,0.005086042000016278,6.109340499999973
0,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.275702582999998,0.00833466699998553,8.284037249999983
1,0.5,10,KENDALL_DISTANCE,0.4,RefinementMethod.MILP_OPT,123869,,800,5,8.161425957999995,0.0075473750000583095,8.168973333000054
