no,max_deviation,K,useful_method,deviation,algorithm,COUNT(sex = 1),,setup_duration[sec],solver_duration[sec],total_duration[sec]
1,0.5,80,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,28,,3.105937458000028,23.51253320799998,26.618470666000007
2,0.5,80,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,28,,3.0876477500000306,23.58435983299995,26.67200758299998
3,0.5,80,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,28,,3.0509572500000104,23.48955008300004,26.54050733300005
4,0.5,80,KENDALL_DISTANCE,0.3,RefinementMethod.MILP_OPT,28,,3.087069749999955,23.511635124999998,26.598704874999953
0,0.5,90,KENDALL_DISTANCE,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.320206624999969,27.528477124999995,30.848683749999964
1,0.5,90,KENDALL_DISTANCE,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.380392625000013,27.40441691600006,30.784809541000072
2,0.5,90,KENDALL_DISTANCE,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.3624451670000326,27.581238833000043,30.943684000000076
3,0.5,90,KENDALL_DISTANCE,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.3861747500000092,27.55365795900002,30.93983270900003
4,0.5,90,KENDALL_DISTANCE,0.3111111111111111,RefinementMethod.MILP_OPT,31,,3.3600967910000463,27.494208708999963,30.85430550000001
0,0.5,100,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,36,,3.5779395829999885,28.72005087499997,32.29799045799996
1,0.5,100,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,36,,3.5402352500000234,28.81600633300002,32.35624158300004
2,0.5,100,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,36,,3.5529863330000353,28.71275162500001,32.265737958000045
3,0.5,100,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,36,,3.559700915999997,28.762043791999986,32.32174470799998
4,0.5,100,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,36,,3.5746000840000534,28.82522845799997,32.39982854200002
