no,max_deviation,K,useful_method,deviation,algorithm,COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(o.ORDERPRIORITY = 5-LOW),COUNT(o.ORDERPRIORITY = 3-MEDIUM),COUNT(c.MKTSEGMENT = AUTOMOBILE),COUNT(c.MKTSEGMENT = BUILDING),COUNT(c.MKTSEGMENT = MACHINERY),number_of_constraints,,setup_duration[sec],solver_duration[sec],total_duration[sec]
0,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.24648408400003,0.019520625000041036,15.266004709000072
1,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.160016374999941,0.018845750000082262,15.178862125000023
2,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.122405458000003,0.013428416999886394,15.13583387499989
3,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.742064500000197,0.014890790999970704,15.756955291000168
4,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.155981207999957,0.015737583000145605,15.171718791000103
5,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.148939542000107,0.022174666999944748,15.171114209000052
6,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.221134458000051,0.010413917000050787,15.231548375000102
7,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.174466833999986,0.01544733300011103,15.189914167000097
8,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.107295625000006,0.011936124999920139,15.119231749999926
9,0.5,10,KENDALL_DISTANCE,0.35,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,4,,15.109713790999876,0.013518417000113914,15.12323220799999
0,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.150400583999954,0.01113358300017353,15.161534167000127
1,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.194322291999924,0.014626291000013225,15.208948582999938
2,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.210433792000003,0.02429779099998086,15.234731582999984
3,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.168254416999844,0.014115583000148035,15.182369999999992
4,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.181316874999993,0.025588957999843842,15.206905832999837
5,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.165879207999978,0.012684792000072775,15.178564000000051
6,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.1678333750001,0.013068249999832915,15.180901624999933
7,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.109277666000025,0.011172334000093542,15.120450000000119
8,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.188176124999927,0.011392583000088052,15.199568708000015
9,0.5,10,KENDALL_DISTANCE,0.28,RefinementMethod.MILP_OPT,241642,241642,239090,241642,239090,238761,241642,239090,238761,242555,241642,239090,238761,242555,239675,5,,15.384909416000028,0.011337334000018018,15.396246750000046
